SMILES,pKi,Scaffold,Split,BCUT2D_MWHI,BCUT2D_MRHI,AvgIpc,BalabanJ,BertzCT,Chi2v,Chi3n,HallKierAlpha,Ipc,Kappa2,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA3,SlogP_VSA4,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState8,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAtomStereoCenters,NumHeteroatoms,MolLogP,fr_Ar_N,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_guanido,fr_halogen,fr_pyridine,MACCS_79,MACCS_86,MACCS_98,MACCS_100,MACCS_108,MACCS_110,MACCS_117,MACCS_128,MACCS_133,MACCS_138
C=CCCOc1cc([C@]23CO[C@@H](C)C[C@H]2C(=O)N(C)C(=N)N3)c(F)cn1,7.7932,N=C1NC(=O)C2CCOCC2(c2ccncc2)N1,Train,19.142211149588235,6.000479042098681,2.6228090652931475,2.029386727185617,741.1464325916666,6.680322572195635,4.946348900411392,-2.4799999999999995,642769.1948223264,7.028786685774485,14.790514511606428,11.35614609342924,5.959554568743835,11.787168065786876,0.0,0.0,9.374393568622029,0.0,19.765380445542643,18.677490542835795,31.432479934548606,11.866734298095341,31.40827208567429,20.261435911703025,36.298838763249954,5.879988336435371,4.39041504767482,15.070325390255217,17.14441049299881,24.918166430507064,0.0,87.54,18.013948781989278,6.076020106833881,16.879702808552036,14.88300951339162,18.020511498982817,11.098818725416397,-0.9298812279541437,-1.1770041077215494,1.4897307256235828,5.955554928400001,2.0,0.0,3.0,8.0,1.79227,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C=CCCn1cc(F)c([C@]23CO[C@@H](C)C[C@H]2C(=O)N(C)C(=N)N3)cc1=O,5.0755,N=C1NC(=O)C2CCOCC2(c2cc[nH]c(=O)c2)N1,Train,19.14221309665441,6.000278000940849,2.609378861934736,2.1076146232277826,821.1444995900815,6.89615572625975,5.19567883872154,-2.48,573001.3324288345,6.677579209624809,14.620751205597735,11.35614609342924,5.959554568743835,5.907179729351506,5.559266895052007,0.0,4.39041504767482,0.0,19.765380445542643,31.419090520361447,18.628754398422615,11.866734298095341,37.95302849158686,13.654553947190108,46.65264284237378,0.0,4.39041504767482,21.61508179616779,17.14441049299881,29.712703614578885,0.0,87.41999999999999,22.581048429780633,6.076020106833881,11.895724287604828,10.146146559591571,26.431722603795112,10.990311780971954,-1.5521454947719826,-1.6421125523339626,1.2119529478458049,5.784701858777089,2.0,0.0,3.0,8.0,1.18017,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
C=CC[C@@]1(C)C(=N)N[C@](C)(c2cc(NC(=O)c3cnc(OC)cn3)ccc2F)CS1(=O)=O,8.3979,N=C1CS(=O)(=O)CC(c2cccc(NC(=O)c3cnccn3)c2)N1,Train,32.228086081797635,7.933131863977295,2.7325857565152636,1.9184543320975327,1185.176213843192,10.326813448689796,5.517312382886031,-3.3400000000000003,7603999.175684102,8.302870355870247,15.370440161812711,22.093791074869184,9.837253136417502,5.879988336435371,5.907179729351506,0.0,22.776169073898174,0.0,38.46739722769209,11.250837766380558,30.79526354363382,27.267438926209838,30.554243727908162,18.179439752030653,60.3223444666347,5.879988336435371,10.077801322358383,15.376178388800847,11.226504446837417,43.24774413904336,0.0,134.13,51.55971332764202,0.0,27.180469933505574,10.146146559591571,20.341138335868553,13.801854233575863,-1.1618994416953055,-1.6909000215125847,3.822447552706165,6.528534229972784,1.0,1.0,2.0,11.0,2.42187,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
C=CC[C@]1(C)C(=N)N[C@](C)(c2cc(NC(=O)c3cnc(OC)cn3)ccc2F)CS1(=O)=O,7.4737,N=C1CS(=O)(=O)CC(c2cccc(NC(=O)c3cnccn3)c2)N1,Train,32.228086081797635,7.933131863977295,2.7325857565152636,1.9184543320975327,1185.176213843192,10.326813448689796,5.517312382886031,-3.3400000000000003,7603999.175684102,8.302870355870247,15.370440161812711,22.093791074869184,9.837253136417502,5.879988336435371,5.907179729351506,0.0,22.776169073898174,0.0,38.46739722769209,11.250837766380558,30.79526354363382,27.267438926209838,30.554243727908162,18.179439752030653,60.3223444666347,5.879988336435371,10.077801322358383,15.376178388800847,11.226504446837417,43.24774413904336,0.0,134.13,51.55971332764202,0.0,27.180469933505574,10.146146559591571,20.341138335868553,13.801854233575863,-1.1618994416953055,-1.6909000215125847,3.822447552706165,6.528534229972784,1.0,1.0,2.0,11.0,2.42187,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
CC#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCN(C)CC4)C(=N)N3)c2)nc1,8.6383,N=C1NC(c2cccc(NC(=O)c3ccccn3)c2)CS(=O)(=O)C12CCNCC2,Train,32.22808711272539,7.933462258353604,2.8469804579371,1.5413798595261505,1375.9124441807746,11.931747052365461,7.000703895935683,-3.4899999999999998,118980096.26436074,10.107951775299156,20.270349892663187,34.45018487266601,9.837253136417502,0.0,5.907179729351506,0.0,17.792190552950967,0.0,77.15813778204365,11.250837766380558,17.48862243074321,27.267438926209838,36.97506535083417,37.81370896976838,53.60327924151248,17.590380470995193,10.077801322358383,15.376178388800847,23.067373084548706,36.52867891392113,0.0,124.48,30.462311845459517,19.913841467842857,27.458424366671156,10.146146559591571,18.871029618594623,14.347946391341987,-0.9376733377877886,4.306405180025165,7.05253060561901,4.59501751946955,2.0,1.0,1.0,11.0,2.54997,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
CC#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C)C4)C(=N)N3)c2)nc1,8.6383,N=C1NC(c2cccc(NC(=O)c3ccccn3)c2)CS(=O)(=O)C12CNC2,Train,32.22808778342412,7.934850158649178,2.76789828511724,1.535152900782135,1344.204817396738,11.300761222882342,6.256632890242496,-3.4899999999999998,34280663.836226106,8.9418681661517,20.270349892663187,29.70316241944845,14.584275589635062,0.0,5.907179729351506,0.0,17.792190552950967,0.0,51.22698172436648,24.340350578205708,17.48862243074321,27.267438926209838,24.133422104982152,37.81370896976838,53.60327924151248,17.590380470995193,10.077801322358383,15.376178388800847,23.067373084548706,36.52867891392113,0.0,124.48,24.395944776997908,26.961513450520048,27.458424366671156,10.146146559591571,18.574196983795126,14.038045597691191,-0.9507938291674336,4.240603164074651,7.003540726027024,3.894784361352248,2.0,1.0,1.0,11.0,1.76977,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
CC#CCOc1cnc2c(Nc3cc([C@]4(C)CS(=O)(=O)[C@@](C)(C5CC5)C(N)=N4)c(F)cn3)nccc2c1,9.1024,O=S1(=O)CC(c2ccnc(Nc3nccc4cccnc34)c2)N=CC1C1CC1,Train,32.22808692450243,7.933211829716941,3.6934413729904167,1.4831682664081436,1594.8302836736955,12.069692300077604,7.093287038857126,-3.7799999999999994,276516313.8685848,8.954771892761933,15.787319034968565,45.629745625652184,15.65511591425253,0.0,0.0,0.0,27.760147594845378,0.0,57.729862096470114,17.146519277774868,18.146540749972942,38.21152340992588,43.89880255052479,17.67652417526604,48.17030425296694,17.590380470995193,16.026140603344878,15.376178388800847,23.575995524918575,41.78203665285973,10.902924932081056,132.45,6.06636706846161,39.23126581075963,37.10199753719492,10.470530430962235,17.500469830412683,3.8427818700970207,5.4771459839560945,5.76913051287582,5.054408139006492,5.193825686658728,1.0,0.0,2.0,11.0,3.4791000000000016,3.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CC#CCOc1cnc2c(Nc3cnc(F)c([C@]4(C)CS(=O)(=O)[C@@](C)(C5CC5)C(N)=N4)c3)nccc2c1,8.5528,O=S1(=O)CC(c2cncc(Nc3nccc4cccnc34)c2)N=CC1C1CC1,Train,32.22808692456895,7.933211521765852,3.6934413729904167,1.4831682664081436,1594.8302836736955,12.082666002225546,7.093287038857125,-3.78,276516313.8685848,8.954771892761933,15.787319034968565,33.99466200677126,15.65511591425253,5.947697344197361,0.0,0.0,23.36973254717056,4.39041504767482,57.72986209647012,17.146519277774868,23.833927024656504,38.08104690677442,43.89880255052479,17.67652417526604,48.300780756118414,17.590380470995193,15.89566410019341,15.376178388800847,23.706472028070046,41.78203665285973,10.902924932081056,132.45,12.263210640074686,39.23126581075963,37.10199753719491,10.470530430962235,17.247262850634133,3.898762595720603,5.815945423803965,5.371914487185664,5.112585576648215,5.18087479958592,1.0,0.0,2.0,11.0,3.4791000000000016,3.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CC#CCOc1cnc2c(Nc3cnc(F)c([C@]4(C)CS(=O)(=O)[C@@](C)(C5CC5)C(N)=N4)c3)nccc2n1,8.7447,O=S1(=O)CC(c2cncc(Nc3nccc4nccnc34)c2)N=CC1C1CC1,Train,32.22808693379454,7.933211019982181,3.6934413729904167,1.4831682664081436,1596.8036021509195,11.91589918451431,6.938080278722198,-3.85,276516313.8685848,8.916359721298273,15.787319034968565,21.638268208974438,22.26199787876545,11.827685680632733,0.0,0.0,28.353711068117768,4.39041504767482,51.66349502800851,11.760295063310071,29.350627742272763,38.21152340992588,43.89880255052479,17.67652417526604,42.234413687656804,17.72085697414666,15.89566410019341,15.376178388800847,23.706472028070046,35.71566958439812,11.033401435232523,145.33999999999997,18.460054211687762,33.03442223914656,42.08597605814212,10.470530430962235,21.535227165655,3.083926640681015,6.166977366497875,4.9551094078223095,3.158487939628431,5.082049476557302,1.0,0.0,2.0,12.0,2.8741000000000003,4.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CC#CCOc1cnc2c(Nc3cnc(F)c([C@]4(C)CS(=O)(=O)[C@@](CF)(C5CC5)C(N)=N4)c3)nccc2c1,9.041,O=S1(=O)CC(c2cncc(Nc3nccc4cccnc34)c2)N=CC1C1CC1,Train,32.228087964988376,7.933903991936723,3.705191427973452,1.491003149519611,1616.197910381701,11.879162595311938,7.0061223578036556,-3.8499999999999996,462468003.23681426,9.470528686596058,15.787319034968565,35.9222305258286,20.40213836747009,5.947697344197361,0.0,0.0,27.76014759484538,4.39041504767482,50.80612489677949,17.146519277774868,23.833927024656504,38.08104690677442,36.97506535083417,24.351115147540945,48.300780756118414,17.590380470995193,20.28607914786823,15.376178388800847,23.706472028070046,41.78203665285973,10.902924932081056,132.45,19.18694783976531,31.450158479839995,37.10199753719491,10.470530430962235,16.967893388160796,3.8159323122813458,5.2941065615245355,4.251145169037052,4.973732328248263,2.2548341472451963,1.0,0.0,2.0,12.0,3.428700000000002,3.0,4.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
