Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 14XS,CC1=C[C@H](ON1)c1[nH]c(=O)c2c(c1)c(ccc2)c1ccn(c1)c1c(F)ccc(c1F)F,C23H16F3N3O2,423.39,31,21,0.09,3,5,2,113.81,59.05,3.66,4.21,5.44,4.05,5.27,4.53,-5.42,1.61E-03,3.80E-06,Moderately soluble,-5.16,2.93E-03,6.92E-06,Moderately soluble,-8.3,2.14E-06,5.06E-09,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,No,No,-5.89,0,0,0,0,0,0.55,0,1,2,4.13
Molecule 14X,CC1=C[C@H](ON1)c1[nH]c(=O)c2c(n1)c(ccc2)c1ccn(c1)c1c(F)ccc(c1F)F,C22H15F3N4O2,424.38,31,21,0.09,3,6,2,111.6,71.94,2.68,3.8,4.83,3.71,4.71,3.95,-5.17,2.88E-03,6.79E-06,Moderately soluble,-5.01,4.19E-03,9.88E-06,Moderately soluble,-7.92,5.08E-06,1.20E-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,No,-6.19,0,0,0,0,0,0.55,0,1,2,4.07
