SMILES	pKi
CC#Cc1cncc(-c2csc([C@]34CN(c5cccc(OC(C)C)c5)C[C@H]3C(=O)N(C)C(N)=N4)c2)c1	8.699
CC(=O)N1CC2[C@](c3cc(NC(=O)c4ccc(F)cn4)ccc3F)(C1)NC(=N)N(C)S2(=O)=O	7.4949
CC(=O)N1CCC2(C1)[C@@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)NC(=N)N(C)S2(=O)=O	8.4318
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CN(S(=O)(=O)c2cccc(C)c2)CCN1	6.4377
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)C2C3CC3CN2c2ccccc2)cc1Cl	6.7218
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)C2CCCCN2c2ccccc2)cc1Cl	6.5075
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)C2[C@H]3CC[C@H](C3)N2c2ccccc2)cc1Cl	6.2518
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)N[C@@H](C)c2ccccc2)cc1Cl	5.8121
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)N[C@H]2CCCc3ccccc32)cc1Cl	4.9635
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)N[C@H]2CCc3ccccc32)cc1Cl	4.9269
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)OCc2ccccc2)cc1Cl	5.1549
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2CCCN2c2ccc(C(F)(F)F)cc2)cc1Cl	6.554
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2CCCN2c2ccc(C)cc2)cc1Cl	5.6612
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2CCCN2c2ccc(Cl)cc2)cc1Cl	6.6279
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2CCCN2c2ccccc2)cc1Cl	6.5732
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2C[C@@H](O)CN2c2ccccc2)cc1Cl	6.2147
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2C[C@@H](OCc3ccccc3)CN2c2ccccc2)cc1Cl	6.3768
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2C[C@H](O)CN2c2ccccc2)cc1Cl	6.1024
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2C[C@H](OCc3ccccc3)CN2c2ccccc2)cc1Cl	5.7447
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2C[C@H](Oc3ccccc3)CN2c2ccccc2)cc1Cl	5.7212
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@@H]2C[C@H](c3ccccc3)CN2c2ccccc2)cc1Cl	6.2757
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)[C@H]2CCCN2c2ccccc2)cc1Cl	5.5553
CC(=O)Nc1c(Cl)cc(CN/C(N)=N/C(=O)c2cccn2-c2ccccc2)cc1Cl	5.7733
CC(=O)Nc1cc(F)c(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(=N)N2)c1	5.9905
CC(=O)Nc1ccc(F)c([C@]2(C)CN(C)S(=O)(=O)C(C)(C)C(=N)N2)c1	5.2267
CC(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(=N)N2)c1	5.8404
CC(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)[C@]3(CCOC3)C(=N)N2)c1	5.8176
CC(=O)OCC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C[C@H](NC(=O)CC(C)C)C(=O)O)C(=O)NCC(C)C	5.5686
CC(=O)c1cc(Cl)c([C@]2(C)CS(=O)(=O)C(C)(C)C(=N)N2)s1	5.6861
CC(C)(C)C#Cc1cc(Cl)c([C@]2(C)CS(=O)(=O)C3(CCC3)C(=N)N2)s1	6.7815
CC(C)(C)Nc1c(-c2ccc(-c3nc4ccc(F)cc4[nH]3)cc2)nc2ccccn12	5.6218
CC(C)(C)Nc1c(-c2ccc(-c3nc4ccccc4[nH]3)cc2)nc2ccccn12	5.2747
CC(C)(C)Nc1c(-c2ccc(OCCCN3C(=O)c4ccccc4C3=O)cc2)nc2ccc(Br)cn12	6.6799
CC(C)(C)Nc1c(-c2ccc(OCCCN3C(=O)c4ccccc4C3=O)cc2)nc2ccc(Cl)cn12	7.5086
CC(C)(C)Nc1c(-c2cccc(-c3nc4ccc(F)cc4[nH]3)c2)nc2ccccn12	6.5214
CC(C)(C)Nc1c(-c2cccc(-c3nc4ccccc4[nH]3)c2)nc2ccccn12	6.3054
